N: 2, Minimum P.E: -0.9999603102275898, Average P.E: -0.9991240908050788, Maximum P.E: -0.9762734224628208
N: 3, Minimum P.E: -2.869510880302568, Average P.E: -1.3850870303126936, Maximum P.E: -0.953173115497836
N: 4, Minimum P.E: -5.999702201886103, Average P.E: -1.6026746572693715, Maximum P.E: -0.9443586905486843
N: 5, Minimum P.E: -9.103333340136958, Average P.E: -1.586190265299454, Maximum P.E: -0.20758743477102273
N: 6, Minimum P.E: -12.302156577525551, Average P.E: -1.5262357406787266, Maximum P.E: -0.9276686881469576
N: 7, Minimum P.E: -15.531534348551203, Average P.E: -1.75765624745745, Maximum P.E: -0.9007537902376479
N: 8, Minimum P.E: -19.819851517318263, Average P.E: -1.5673088802015755, Maximum P.E: -0.8347413091882859
N: 9, Minimum P.E: -23.16861876086209, Average P.E: -1.8489220632188128, Maximum P.E: -0.6114427991631629
N: 10, Minimum P.E: -27.47679489574307, Average P.E: -2.202130268600302, Maximum P.E: -0.8787774938387348
N: 11, Minimum P.E: -29.780334549275448, Average P.E: -2.308256401325147, Maximum P.E: 0.005298769443047391
N: 12, Minimum P.E: -33.05224741065014, Average P.E: -1.9640292988826014, Maximum P.E: -0.7577041220818932
N: 13, Minimum P.E: -36.50316280949702, Average P.E: -1.8888443005790294, Maximum P.E: -0.8312591155474228
N: 14, Minimum P.E: -43.075529467074944, Average P.E: -2.9205244710356832, Maximum P.E: -0.09693373198751146
N: 15, Minimum P.E: -45.14875228568292, Average P.E: -2.169398502924711, Maximum P.E: -0.677054386429059
N: 16, Minimum P.E: -52.17606488566413, Average P.E: -3.825487309185135, Maximum P.E: -0.38125713733301697
N: 17, Minimum P.E: -49.79270191054307, Average P.E: -1.8657127592094367, Maximum P.E: -0.7931612409525806
N: 18, Minimum P.E: -57.57112204588847, Average P.E: -2.4280181391166233, Maximum P.E: -0.21213246697082608
N: 19, Minimum P.E: -65.5460887999923, Average P.E: -3.163139860175534, Maximum P.E: -0.7821051046933657
N: 20, Minimum P.E: -77.14600012694567, Average P.E: -4.9890813703248655, Maximum P.E: -0.753926870493328
N: 21, Minimum P.E: -75.78357713658552, Average P.E: -3.395916769698733, Maximum P.E: -0.7545716430963636
N: 22, Minimum P.E: -81.83189226038488, Average P.E: -5.793225694428741, Maximum P.E: -0.2729744038585963
N: 23, Minimum P.E: -87.6537124617369, Average P.E: -8.92131395902799, Maximum P.E: -0.05396959983957103
N: 24, Minimum P.E: -83.3618232102341, Average P.E: -2.91111991017819, Maximum P.E: -0.004259992816005332
N: 25, Minimum P.E: -94.71562004824446, Average P.E: -7.149918837795391, Maximum P.E: -0.7216196971368302
N: 26, Minimum P.E: -101.2691970812429, Average P.E: -6.624817551448685, Maximum P.E: -0.703715448883546
